id,question,answer
1,Какой стране принадлежит знаменитый остров Пасхи?,Чили
2,С какой музыкальной группой неразрывно связано имя Мика Джаггера?,'Роллинг Стоунз'
3,Где находится Летний сад?,Санкт-Петербург
4,Какой город является столицей Туркмении?,Ашхабад
5,"В каком городе издавалась с 1857 г. А. Герценом и Н. Огаревым первая российская революционная газета ""Колокол""?",Лондон
6,В какой стране находится второй из самых высоких действующих вулканов с забавным названием Попокатепетль (5452 м)?,Мексика
7,В каком виде спорта прославилась Курникова?,теннис
8,В каком городе родился Вольфганг Амадей Моцарт?,Зальцбург
9,В каком городе убили Джона Леннона?,Нью-Йорк
10,Гражданином какой страны был изобретатель телеграфного кода Морзе?,США
11,Как называлась столица Крымского ханства?,Бахчисарай
12,Как назывался корабль Хана Соло?,тысячелетний сокол
13,Какой музыкальный инструмент прославил имя Генри Стейнве?,рояль
14,"Какой стране принадлежит авиакомпания ""Malev""?",Венгрия
15,"Кто автор поэмы ""Энеида""?",Вергилий
16,"Кто автор романа ""Колыбель для кошки""?",Воннегут
17,"Кто написал роман ""Зима тревоги нашей""?",Джон Стейнбек
18,Кто первым открыл Южную Америку?,Колумб
19,"Кто снял искрометную ""Кавказскую пленницу"" (фамилия)?",Гайдай
20,Кто создал одно из чудес света – статую Зевса в Афинах?,Фидий
21,Кто сражался с немейским львом?,Геракл
22,"Что на весь мир прославило маленькое парижское кафе ""Режанс""?",шахматы
23,"Кто автор ""Похождений бравого солдата Швейка""?",Гашек
24,"В каком государстве находится Океанографический музей Жак-Ива Кусто? ""в ...""",Монако
25,Где расположена Академия наук Армении,Ереван
26,Какая столица стоит на берегу Потамака?,Вашингтон
27,Какой библейский царь живет и почитается в исламе под именем Дауд,Давид
28,Какой продукт составляет основу сырников,творог
29,На каком острове жила древнегреческая поэтесса Сапфо?,Лесбос
30,Какому государству принадлежит народный парк Беловежская пуща,Польша
31,В какой стране город Калькутта?,Индия
32,Что скрывается за всякой фобией?,страх
33,"Кто написал роман ""Великий Гэтсби""?",Ф. Скотт Фицджеральд
34,В какой стране находится крупный город Фейсалабад?,Пакистан
35,Как звали доктора Ватсона?,Джон
36,Как называется столица Китайской Народной Республики?,Пекин
37,"Кто автор сказки ""Бременские музыканты""?",Братья Гримм
38,Кто был воспитателем Александра Македонского?,Аристотель
39,Кто стал президентом российской федерации в 2012 году?,Путин
40,Кто играл гарри поттера,Дениел Редклиф
41,"Кто написал поэму ""Ода к радости""?",Фридрих Шиллер
42,"Кто автор бессмертной ""Похвалы Глупости""?",Эразм Роттердамский
43,Какая страна является родиной хереса?,Испания
